,Ring,SMART,PED_ORIENT,LANDUSE,SPC_LU,GN_VA_LU,UNITS,UNITS_VAL,COST,YEAR
183,3,Out,0,Office Park,"OFFICE, MULTI-STORY",Office,sq. ft.,0.0,0.0,2018
184,3,Out,0,Service Stations w/ Gasoline,SERVICE STATIONS,Commercial/Retail,fuel station,4.0,53016.92,2018
185,3,Out,0,"Shopping Center/General Retail [1-10,000]","STORES, ONE STORY",Commercial/Retail,sq. ft.,14384.359999999999,1597134.2700000005,2018
186,3,Out,0,"Shopping Center/General Retail [10,001 -50,000]","STORES, ONE STORY",Commercial/Retail,sq. ft.,56574.0,1522203.8499999999,2018
187,3,Out,0,"Shopping Center/General Retail [100,001-200,000]",COMMUNITY SHOPPING CENTER,Commercial/Retail,sq. ft.,663.0,12884.81,2018
188,3,Out,0,"Shopping Center/General Retail [300,001-400,000]",COMMUNITY SHOPPING CENTER,Commercial/Retail,sq. ft.,163877.0,2403371.03,2018
189,3,Out,0,"Shopping Center/General Retail [50,001 -100,000]","STORES, ONE STORY",Commercial/Retail,sq. ft.,62118.0,147854.06999999998,2018
190,3,Out,0,Single Family Detached,SINGLE FAMILY RESIDENTIAL,Single-family,unit,472.32000000000005,6307839.100000027,2018
191,3,Out,0,University (20 SF/St),COLLEGES,Other,student,0.0,0.0,2018
192,3,Out,0,Unknown*,Unknown,Unknown,0,-14.959999999999999,1806570.3,2018
193,3,Out,0,Warehousing,"WAREHOUSING, DISTRIBUTION TERMINALS",Industrial/Manufacturing,sq. ft.,2479137.0,12279215.63,2018
194,4,In,0,Apartment (Rentals),MULTI-FAMILY 10 OR MORE,Multifamily,unit,771.0,1609050.04,2018
195,4,In,0,Assisted Living Facility,HOMES FOR THE AGED,Other,bed,2.0,0.0,2018
196,4,In,0,Church/Synagogue,"CHURCHES, TEMPLES",Other,sq. ft.,-1668.0,4252.18,2018
197,4,In,0,Clinic,PROFESSIONAL BUILDING,Office,sq. ft.,13936.0,0.0,2018
198,4,In,0,"Condominium,Townhouse",CONDOMINIUM,Single-family,unit,22.0,76790.95999999999,2018
199,4,In,0,Duplex,MULTI-FAMILY LESS THAN 10,Multifamily,unit,8.0,33293.8,2018
200,4,In,0,"General Office Building [1-50,000]","OFFICE, ONE STORY",Office,sq. ft.,1340.0,66925.38,2018
201,4,In,0,High turnover Rest/Seats,"RESTAURANTS, CAFETERIAS",Commercial/Retail,seats,21.0,0.0,2018
202,4,In,0,High-Rise Apart or Condo over 3 floors,MULTI-FAMILY 10 OR MORE,Multifamily,unit,233.0,15511.760000000002,2018
203,4,In,0,Hotel,"HOTELS, MOTELS",Commercial/Retail,room,80.0,683240.88,2018
204,4,In,0,Medical Office Building,PROFESSIONAL BUILDING,Office,sq. ft.,5205.0,0.0,2018
205,4,In,0,Mini-Warehouse,"WAREHOUSING, DISTRIBUTION TERMINALS",Industrial/Manufacturing,sq. ft.,193302.0,448363.99,2018
206,4,In,0,Mobile Home,MOBILE HOME,Single-family,unit,-30.0,0.0,2018
207,4,In,0,"Shopping Center/General Retail [1-10,000]","STORES, ONE STORY",Commercial/Retail,sq. ft.,411.27999999999884,297390.57000000007,2018
208,4,In,0,"Shopping Center/General Retail [10,001 -50,000]","STORES, ONE STORY",Commercial/Retail,sq. ft.,-14982.0,81166.55,2018
209,4,In,0,"Shopping Center/General Retail [100,001-200,000]",COMMUNITY SHOPPING CENTER,Commercial/Retail,sq. ft.,1940.0,37702.15,2018
210,4,In,0,"Shopping Center/General Retail [50,001 -100,000]","STORES, ONE STORY",Commercial/Retail,sq. ft.,30946.0,0.0,2018
211,4,In,0,Single Family Detached,SINGLE FAMILY RESIDENTIAL,Single-family,unit,28.519999999999992,325506.4699999999,2018
212,4,In,0,Warehousing,"WAREHOUSING, DISTRIBUTION TERMINALS",Industrial/Manufacturing,sq. ft.,-7236.0,702354.25,2018
213,4,Out,0,All Suites Hotel,"HOTELS, MOTELS",Commercial/Retail,room,25.0,730133.53,2018
214,4,Out,0,Car Sales (New & Used Car Sales Area),"AUTO SALES, REPAIR, ETC",Commercial/Retail,sq. ft.,8132.54,0.0,2018
215,4,Out,0,Car Sales (Service and Parts Sales Area),"AUTO SALES, REPAIR, ETC",Commercial/Retail,sq. ft.,25792.67,0.0,2018
216,4,Out,0,"Condominium,Townhouse",CONDOMINIUM,Single-family,unit,510.0,2876815.739999994,2018
217,4,Out,0,Convenience market with Gasoline,SERVICE STATIONS,Commercial/Retail,sq. ft.,8421.0,489793.99,2018
218,4,Out,0,Day Care Center,PRIVATE SCHOOLS & COLLEGES,Other,sq. ft.,5225.0,42023.11,2018
219,4,Out,0,Duplex,MULTI-FAMILY LESS THAN 10,Multifamily,unit,81.0,454058.7400000002,2018
220,4,Out,0,"General Office Building [1-50,000]","OFFICE, ONE STORY",Office,sq. ft.,19879.309999999998,837216.9800000001,2018
221,4,Out,0,Hotel,"HOTELS, MOTELS",Commercial/Retail,room,200.0,1127347.45,2018
222,4,Out,0,Mini-Warehouse,"WAREHOUSING, DISTRIBUTION TERMINALS",Industrial/Manufacturing,sq. ft.,8485.0,19680.96,2018
223,4,Out,0,Mobile Home,MOBILE HOME,Single-family,unit,3.0,18486.12,2018
224,4,Out,0,"Shopping Center/General Retail [1-10,000]","STORES, ONE STORY",Commercial/Retail,sq. ft.,25025.0,393572.03,2018
225,4,Out,0,"Shopping Center/General Retail [10,001 -50,000]","STORES, ONE STORY",Commercial/Retail,sq. ft.,17060.0,0.0,2018
226,4,Out,0,"Shopping Center/General Retail [50,001 -100,000]","STORES, ONE STORY",Commercial/Retail,sq. ft.,38975.0,500875.52,2018
227,4,Out,0,Single Family Detached,SINGLE FAMILY RESIDENTIAL,Single-family,unit,607.0,5832270.960000006,2018
228,4,Out,0,Warehousing,"WAREHOUSING, DISTRIBUTION TERMINALS",Industrial/Manufacturing,sq. ft.,-5048.0,0.0,2018
