,Ring,SMART,STATUS,PED_ORIENTED,PROC_NUM,CAT_CODE,LANDUSE,SPC_LU,GN_VA_LU,UNITS,RIF_CALCULATED,MF_CALCULATED,RIF_ACTUAL,DIFF_MF_RF_CALC,DIFF_MF_RF_ACTUAL,YEAR
2421,3,Out,Collected,0.0,M2019007241-0,210-00,Single Family Detached,SINGLE FAMILY RESIDENTIAL,Single-family,unit,9769.627999999999,9958.276875485148,9463.58,188.6488754851489,494.69687548514776,2019
2422,3,Out,Collected,0.0,M2019007243-0,210-00,Single Family Detached,SINGLE FAMILY RESIDENTIAL,Single-family,unit,9769.627999999999,9958.276875485148,9463.58,188.6488754851489,494.69687548514776,2019
2423,3,Out,Collected,0.0,M2019007253-0,210-00,Single Family Detached,SINGLE FAMILY RESIDENTIAL,Single-family,unit,9769.627999999999,9958.276875485148,9463.58,188.6488754851489,494.69687548514776,2019
2424,3,Out,Collected,0.0,M2019007254-0,210-00,Single Family Detached,SINGLE FAMILY RESIDENTIAL,Single-family,unit,9769.627999999999,9958.276875485148,9463.58,188.6488754851489,494.69687548514776,2019
2425,3,Out,Collected,0.0,M2019007255-0,210-00,Single Family Detached,SINGLE FAMILY RESIDENTIAL,Single-family,unit,9769.627999999999,9958.276875485148,9463.58,188.6488754851489,494.69687548514776,2019
2426,3,Out,Collected,0.0,M2019007256-0,210-00,Single Family Detached,SINGLE FAMILY RESIDENTIAL,Single-family,unit,9769.627999999999,9958.276875485148,9463.58,188.6488754851489,494.69687548514776,2019
2427,3,Out,Collected,0.0,M2019007258-0,210-00,Single Family Detached,SINGLE FAMILY RESIDENTIAL,Single-family,unit,9769.627999999999,9958.276875485148,9463.58,188.6488754851489,494.69687548514776,2019
2428,3,Out,Collected,0.0,M2019007342-0,220-00,Apartment (Rentals),MULTI-FAMILY 10 OR MORE,Multifamily,unit,41162.352,46331.30512407921,39872.87,5168.953124079213,6458.435124079209,2019
2429,3,Out,Collected,0.0,M2019007390-0,210-00,Single Family Detached,SINGLE FAMILY RESIDENTIAL,Single-family,unit,9769.627999999999,9958.276875485148,9463.58,188.6488754851489,494.69687548514776,2019
2430,3,Out,Collected,0.0,M2019007439-0,210-00,Single Family Detached,SINGLE FAMILY RESIDENTIAL,Single-family,unit,0.0,0.0,0.0,0.0,0.0,2019
2431,3,Out,Collected,0.0,M2019007652-0,230-00,"Condominium,Townhouse",CONDOMINIUM,Single-family,unit,47850.176,49453.81566978218,46351.18,1603.6396697821838,3102.635669782183,2019
2432,3,Out,Collected,0.0,M2019007654-0,230-00,"Condominium,Townhouse",CONDOMINIUM,Single-family,unit,47850.176,49453.81566978218,46351.18,1603.6396697821838,3102.635669782183,2019
2433,3,Out,Collected,0.0,M2019007656-0,230-00,"Condominium,Townhouse",CONDOMINIUM,Single-family,unit,35887.632,37090.36175233664,34763.39,1202.7297523366433,2326.9717523366417,2019
2434,3,Out,Collected,0.0,M2019007657-0,230-00,"Condominium,Townhouse",CONDOMINIUM,Single-family,unit,53831.448,55635.542628504954,52145.079999999994,1804.0946285049577,3490.46262850496,2019
2435,3,Out,Collected,0.0,M2019007736-0,230-00,"Condominium,Townhouse",CONDOMINIUM,Single-family,unit,41868.904,43272.08871105941,40557.29,1403.18471105941,2714.7987110594113,2019
2436,3,Out,Collected,0.0,M2019007737-0,230-00,"Condominium,Townhouse",CONDOMINIUM,Single-family,unit,59812.72,61817.269587227725,57938.98,2004.5495872277243,3878.289587227722,2019
2437,3,Out,Collected,0.0,M2019007738-0,230-00,"Condominium,Townhouse",CONDOMINIUM,Single-family,unit,41868.904,43272.08871105941,40557.29,1403.18471105941,2714.7987110594113,2019
2438,3,Out,Collected,0.0,M2019007930-0,210-00,Single Family Detached,SINGLE FAMILY RESIDENTIAL,Single-family,unit,9769.627999999999,9958.276875485148,9463.58,188.6488754851489,494.69687548514776,2019
2439,3,Out,Collected,0.0,M2019008102-0,210-00,Single Family Detached,SINGLE FAMILY RESIDENTIAL,Single-family,unit,0.0,0.0,0.0,0.0,0.0,2019
2440,3,Out,Collected,0.0,M2019008175-0,210-00,Single Family Detached,SINGLE FAMILY RESIDENTIAL,Single-family,unit,9769.627999999999,9958.276875485148,9463.58,188.6488754851489,494.69687548514776,2019
2441,3,Out,Collected,0.0,M2019008178-0,210-00,Single Family Detached,SINGLE FAMILY RESIDENTIAL,Single-family,unit,9769.627999999999,9958.276875485148,9463.58,188.6488754851489,494.69687548514776,2019
2442,3,Out,Collected,0.0,M2019008179-0,210-00,Single Family Detached,SINGLE FAMILY RESIDENTIAL,Single-family,unit,9769.627999999999,9958.276875485148,9463.58,188.6488754851489,494.69687548514776,2019
2443,3,Out,Collected,0.0,M2019008180-0,210-00,Single Family Detached,SINGLE FAMILY RESIDENTIAL,Single-family,unit,9769.627999999999,9958.276875485148,9463.58,188.6488754851489,494.69687548514776,2019
2444,3,Out,Collected,0.0,M2019008181-0,210-00,Single Family Detached,SINGLE FAMILY RESIDENTIAL,Single-family,unit,9769.627999999999,9958.276875485148,9463.58,188.6488754851489,494.69687548514776,2019
2445,3,Out,Collected,0.0,M2019008184-0,210-00,Single Family Detached,SINGLE FAMILY RESIDENTIAL,Single-family,unit,9769.627999999999,9958.276875485148,9463.58,188.6488754851489,494.69687548514776,2019
2446,3,Out,Collected,0.0,M2019008185-0,210-00,Single Family Detached,SINGLE FAMILY RESIDENTIAL,Single-family,unit,9769.627999999999,9958.276875485148,9463.58,188.6488754851489,494.69687548514776,2019
2447,3,Out,Collected,0.0,M2019008187-0,210-00,Single Family Detached,SINGLE FAMILY RESIDENTIAL,Single-family,unit,9769.627999999999,9958.276875485148,9463.58,188.6488754851489,494.69687548514776,2019
2448,3,Out,Collected,0.0,M2019008189-0,210-00,Single Family Detached,SINGLE FAMILY RESIDENTIAL,Single-family,unit,9769.627999999999,9958.276875485148,9463.58,188.6488754851489,494.69687548514776,2019
2449,3,Out,Collected,0.0,M2019008190-0,210-00,Single Family Detached,SINGLE FAMILY RESIDENTIAL,Single-family,unit,9769.627999999999,9958.276875485148,9463.58,188.6488754851489,494.69687548514776,2019
2450,3,Out,Collected,0.0,M2019008192-0,210-00,Single Family Detached,SINGLE FAMILY RESIDENTIAL,Single-family,unit,9769.627999999999,9958.276875485148,9463.58,188.6488754851489,494.69687548514776,2019
2451,3,Out,Collected,0.0,M2019008193-0,210-00,Single Family Detached,SINGLE FAMILY RESIDENTIAL,Single-family,unit,9769.627999999999,9958.276875485148,9463.58,188.6488754851489,494.69687548514776,2019
2452,3,Out,Collected,0.0,M2019008198-0,210-00,Single Family Detached,SINGLE FAMILY RESIDENTIAL,Single-family,unit,9769.627999999999,9958.276875485148,9463.58,188.6488754851489,494.69687548514776,2019
2453,3,Out,Collected,0.0,M2019008200-0,210-00,Single Family Detached,SINGLE FAMILY RESIDENTIAL,Single-family,unit,9769.627999999999,9958.276875485148,9463.58,188.6488754851489,494.69687548514776,2019
2454,3,Out,Collected,0.0,M2019008201-0,210-00,Single Family Detached,SINGLE FAMILY RESIDENTIAL,Single-family,unit,9769.627999999999,9958.276875485148,9463.58,188.6488754851489,494.69687548514776,2019
2455,3,Out,Collected,0.0,M2019008203-0,210-00,Single Family Detached,SINGLE FAMILY RESIDENTIAL,Single-family,unit,9769.627999999999,9958.276875485148,9463.58,188.6488754851489,494.69687548514776,2019
2456,3,Out,Collected,0.0,M2019008206-0,210-00,Single Family Detached,SINGLE FAMILY RESIDENTIAL,Single-family,unit,9769.627999999999,9958.276875485148,9463.58,188.6488754851489,494.69687548514776,2019
2457,3,Out,Collected,0.0,M2019008209-0,210-00,Single Family Detached,SINGLE FAMILY RESIDENTIAL,Single-family,unit,9769.627999999999,9958.276875485148,9463.58,188.6488754851489,494.69687548514776,2019
2458,3,Out,Collected,0.0,M2019008210-0,210-00,Single Family Detached,SINGLE FAMILY RESIDENTIAL,Single-family,unit,9769.627999999999,9958.276875485148,9463.58,188.6488754851489,494.69687548514776,2019
2459,3,Out,Collected,0.0,M2019008213-0,210-00,Single Family Detached,SINGLE FAMILY RESIDENTIAL,Single-family,unit,9769.627999999999,9958.276875485148,9463.58,188.6488754851489,494.69687548514776,2019
2460,3,Out,Collected,0.0,M2019008215-0,210-00,Single Family Detached,SINGLE FAMILY RESIDENTIAL,Single-family,unit,9769.627999999999,9958.276875485148,9463.58,188.6488754851489,494.69687548514776,2019
2461,3,Out,Collected,0.0,M2019008217-0,210-00,Single Family Detached,SINGLE FAMILY RESIDENTIAL,Single-family,unit,9769.627999999999,9958.276875485148,9463.58,188.6488754851489,494.69687548514776,2019
2462,3,Out,Collected,0.0,M2019008221-0,210-00,Single Family Detached,SINGLE FAMILY RESIDENTIAL,Single-family,unit,9769.627999999999,9958.276875485148,9463.58,188.6488754851489,494.69687548514776,2019
2463,3,Out,Collected,0.0,M2019008224-0,210-00,Single Family Detached,SINGLE FAMILY RESIDENTIAL,Single-family,unit,9769.627999999999,9958.276875485148,9463.58,188.6488754851489,494.69687548514776,2019
