,Ring,SMART,STATUS,PED_ORIENTED,PROC_NUM,CAT_CODE,LANDUSE,SPC_LU,GN_VA_LU,UNITS,RIF_CALCULATED,MF_CALCULATED,RIF_ACTUAL,DIFF_RFc_RFa,DIFF_MFc_RFc,DIFF_MFc_RFa,YEAR
1247,2,Out,Collected,0.0,M2018007762-0,210-00,Single Family Detached,SINGLE FAMILY RESIDENTIAL,Single-family,unit,0.0,0.0,0.0,0.0,0.0,0.0,2018
1248,2,Out,Collected,0.0,M2018007778-0,210-00,Single Family Detached,SINGLE FAMILY RESIDENTIAL,Single-family,unit,0.0,0.0,0.0,0.0,0.0,0.0,2018
1249,2,Out,Collected,0.0,M2018007792-0,230-00,"Condominium,Townhouse",CONDOMINIUM,Single-family,unit,10956.996,11240.0,10609.6,347.3959999999988,283.0040000000008,630.3999999999996,2018
1250,2,Out,Collected,0.0,M2018007817-0,210-00,Single Family Detached,SINGLE FAMILY RESIDENTIAL,Single-family,unit,0.0,0.0,0.0,0.0,0.0,0.0,2018
1251,2,Out,Collected,0.0,M2018007859-0,210-00,Single Family Detached,SINGLE FAMILY RESIDENTIAL,Single-family,unit,0.0,0.0,0.0,0.0,0.0,0.0,2018
1252,2,Out,Collected,0.0,M2018007951-0,210-00,Single Family Detached,SINGLE FAMILY RESIDENTIAL,Single-family,unit,-8947.898,-9053.0,-15905.18674351586,6957.288743515861,-105.10200000000077,6852.18674351586,2018
1253,2,Out,Collected,0.0,M2018007951-0,231-00,Duplex,MULTI-FAMILY LESS THAN 10,Multifamily,unit,7853.46,6598.0,13959.78674351586,-6106.3267435158605,-1255.46,-7361.7867435158605,2018
1254,2,Out,Collected,0.0,M2018008315-0,210-00,Single Family Detached,SINGLE FAMILY RESIDENTIAL,Single-family,unit,-8947.898,-9053.0,-8664.197999999999,-283.7000000000007,-105.10200000000077,-388.8020000000015,2018
1255,2,Out,Collected,0.0,M2018008315-0,220-00,Apartment (Rentals),MULTI-FAMILY 10 OR MORE,Multifamily,unit,37696.608,42120.0,36501.408,1195.199999999997,4423.392,5618.591999999997,2018
1256,2,Out,Collected,0.0,M2018008322-0,710-00,"General Office Building [1-50,000]","OFFICE, ONE STORY",Office,sq. ft.,-7086.337812,-6795.738,-6861.694624917381,-224.64318708261908,290.5998119999995,65.9566249173804,2018
1257,2,Out,Collected,0.0,M2018008322-0,720-00,Medical Office Building,PROFESSIONAL BUILDING,Office,sq. ft.,16363.1097,6225.66,15844.38462491738,518.7250750826206,-10137.449700000001,-9618.72462491738,2018
1258,2,Out,Collected,0.0,M2018008412-0,210-00,Single Family Detached,SINGLE FAMILY RESIDENTIAL,Single-family,unit,0.0,0.0,0.0,0.0,0.0,0.0,2018
1259,2,Out,Collected,0.0,M2018008481-0,210-00,Single Family Detached,SINGLE FAMILY RESIDENTIAL,Single-family,unit,0.0,0.0,0.0,0.0,0.0,0.0,2018
1260,2,Out,Collected,0.0,M2018008608-0,210-00,Single Family Detached,SINGLE FAMILY RESIDENTIAL,Single-family,unit,0.0,0.0,0.0,0.0,0.0,0.0,2018
1261,2,Out,Collected,0.0,M2018008661-0,710-01,"General Office Building [50,001 -100,000]","OFFICE, ONE STORY",Office,sq. ft.,-28045.443696,-30523.68,-27156.576029143893,-888.8676668561056,-2478.236304000002,-3367.1039708561075,2018
1262,2,Out,Collected,0.0,M2018008661-0,820-00,"Shopping Center/General Retail [1-10,000]","STORES, ONE STORY",Commercial/Retail,sq. ft.,39764.547024,38223.408,38504.25602914389,1260.2909948561064,-1541.1390239999964,-280.84802914389,2018
1263,2,Out,Collected,0.0,M2018008767-0,210-00,Single Family Detached,SINGLE FAMILY RESIDENTIAL,Single-family,unit,0.0,0.0,0.0,0.0,0.0,0.0,2018
1264,2,Out,Collected,0.0,M2018008787-0,720-00,Medical Office Building,PROFESSIONAL BUILDING,Office,sq. ft.,24881.35405,9466.59,24092.52953897572,788.8245110242824,-15414.764050000002,-14625.93953897572,2018
1265,2,Out,Collected,0.0,M2018008787-0,820-00,"Shopping Center/General Retail [1-10,000]","STORES, ONE STORY",Commercial/Retail,sq. ft.,-13025.709331,-12520.877,-12612.749538975719,-412.95979202428134,504.8323309999996,91.87253897571827,2018
1266,2,Out,Collected,0.0,M2018008805-0,210-00,Single Family Detached,SINGLE FAMILY RESIDENTIAL,Single-family,unit,8947.898,9053.0,8664.199999999999,283.6980000000003,105.10200000000077,388.8000000000011,2018
1267,2,Out,Collected,0.0,M2018008876-0,210-00,Single Family Detached,SINGLE FAMILY RESIDENTIAL,Single-family,unit,0.0,0.0,0.0,0.0,0.0,0.0,2018
1268,2,Out,Collected,0.0,M2018009150-0,210-00,Single Family Detached,SINGLE FAMILY RESIDENTIAL,Single-family,unit,0.0,0.0,0.0,0.0,0.0,0.0,2018
1269,2,Out,Collected,0.0,M2018009199-0,310-00,Hotel,"HOTELS, MOTELS",Commercial/Retail,room,16678.352,16034.0,16149.55,528.8019999999997,-644.351999999999,-115.54999999999927,2018
1270,2,Out,Collected,0.0,M2018009301-0,210-00,Single Family Detached,SINGLE FAMILY RESIDENTIAL,Single-family,unit,0.0,0.0,0.0,0.0,0.0,0.0,2018
1271,2,Out,Collected,0.0,M2018009404-0,151-00,Mini-Warehouse,"WAREHOUSING, DISTRIBUTION TERMINALS",Industrial/Manufacturing,sq. ft.,250506.95463999998,159845.9,0.0,250506.95463999998,-90661.05463999999,159845.9,2018
1272,2,Out,Collected,0.0,M2018009404-0,220-00,Apartment (Rentals),MULTI-FAMILY 10 OR MORE,Multifamily,unit,-250493.96016,-279887.39999999997,0.0,-250493.96016,-29393.439839999977,-279887.39999999997,2018
1273,2,Out,Collected,0.0,M2018009415-0,210-00,Single Family Detached,SINGLE FAMILY RESIDENTIAL,Single-family,unit,-8947.898,-9053.0,-15905.18674351586,6957.288743515861,-105.10200000000077,6852.18674351586,2018
1274,2,Out,Collected,0.0,M2018009415-0,231-00,Duplex,MULTI-FAMILY LESS THAN 10,Multifamily,unit,7853.46,6598.0,13959.78674351586,-6106.3267435158605,-1255.46,-7361.7867435158605,2018
1275,2,Out,Collected,0.0,M2018009484-0,710-00,"General Office Building [1-50,000]","OFFICE, ONE STORY",Office,sq. ft.,-4228.47318,-4055.07,-4094.5271776281725,-133.9460023718275,173.4031799999998,39.4571776281723,2018
1276,2,Out,Collected,0.0,M2018009484-0,820-00,"Shopping Center/General Retail [1-10,000]","STORES, ONE STORY",Commercial/Retail,sq. ft.,5111.57741,4913.47,4949.657177628173,161.9202323718273,-198.10740999999962,-36.18717762817232,2018
1277,2,Out,Collected,0.0,M2018009554-0,210-00,Single Family Detached,SINGLE FAMILY RESIDENTIAL,Single-family,unit,0.0,0.0,0.0,0.0,0.0,0.0,2018
1278,2,Out,Collected,0.0,M2018009557-0,820-00,"Shopping Center/General Retail [1-10,000]","STORES, ONE STORY",Commercial/Retail,sq. ft.,-7773.122888999999,-7471.863,-7526.650249262386,-246.47263973761346,301.259888999999,54.78724926238556,2018
1279,2,Out,Collected,0.0,M2018009557-0,932-00,High Turnover Rest.,DRIVE-IN RESTAURANTS,Commercial/Retail,sq. ft.,21444.416595,5188.806,20764.450249262383,679.9663457376155,-16255.610594999998,-15575.644249262383,2018
1280,2,Out,Collected,0.0,M2018009598-0,210-00,Single Family Detached,SINGLE FAMILY RESIDENTIAL,Single-family,unit,0.0,0.0,0.0,0.0,0.0,0.0,2018
1281,2,Out,Collected,0.0,M2018009735-0,210-00,Single Family Detached,SINGLE FAMILY RESIDENTIAL,Single-family,unit,0.0,0.0,0.0,0.0,0.0,0.0,2018
